source_host,url,canonical_url,title,description,start_date,end_date,venue,address,city_guess,price,currency,image,images,organizer,tags,scraped_at
www.district.in,https://www.district.in/events/cooldown-presents-open-air-jamming-event-mar14-2026-buy-tickets,https://www.district.in/events/cooldown-presents-open-air-jamming-event-mar14-2026-buy-tickets,Cooldown Presents - A Quality Jamming Show,Buy Tickets for Cooldown Presents - A Quality Jamming Show !,,,,,,,,"https://media.insider.in/image/upload/c_crop,g_custom/v1775900822/vn74bt71j4kkxbbeooie.jpg","[""https://media.insider.in/image/upload/c_crop,g_custom/v1775900822/vn74bt71j4kkxbbeooie.jpg""]",,,2026-05-17T11:02:36.608Z
www.district.in,https://www.district.in/events/the-booyah-awards-2026-buy-tickets,https://www.district.in/events/the-booyah-awards-2026-buy-tickets,The Booyah Awards 2026,Buy Tickets for The Booyah Awards 2026!,,,,,,,,"https://media.insider.in/image/upload/c_crop,g_custom,q_auto/v1778752071/s7mmq8n4coyumzszpczm.jpg","[""https://media.insider.in/image/upload/c_crop,g_custom,q_auto/v1778752071/s7mmq8n4coyumzszpczm.jpg""]",,,2026-05-17T11:02:36.584Z
www.district.in,https://www.district.in/events/niladri-kumar-ekka-tour-2026-delhi-buy-tickets,https://www.district.in/events/niladri-kumar-ekka-tour-2026-delhi-buy-tickets,Niladri Kumaar EKKA Tour 2026 | Delhi,Buy Tickets for Niladri Kumaar EKKA Tour 2026 | Delhi!,,,,,Delhi,,,"https://media.insider.in/image/upload/c_crop,g_custom,q_auto/v1777890707/skddnevnsyxwauhq3fsn.png","[""https://media.insider.in/image/upload/c_crop,g_custom,q_auto/v1777890707/skddnevnsyxwauhq3fsn.png""]",,,2026-05-17T11:02:36.596Z
www.district.in,https://www.district.in/events/singles-meetup-may2-2026-buy-tickets,https://www.district.in/events/singles-meetup-may2-2026-buy-tickets,Singles Meetup,Buy Tickets for Singles Meetup!,,,,,,,,"https://media.insider.in/image/upload/c_crop,g_custom,q_auto/v1777555091/us2drfz0im1m4eqfewo8.jpg","[""https://media.insider.in/image/upload/c_crop,g_custom,q_auto/v1777555091/us2drfz0im1m4eqfewo8.jpg""]",,,2026-05-17T11:02:36.899Z
www.district.in,https://www.district.in/events/noorani-shaam-saturday-the-big-tree-gurgaon-mar28-2026-buy-tickets,https://www.district.in/events/noorani-shaam-saturday-the-big-tree-gurgaon-mar28-2026-buy-tickets,Noorani Shaam Saturday - The Big Tree Gurgaon,Buy Tickets for Noorani Shaam Saturday - The Big Tree Gurgaon!,,,,,,,,"https://media.insider.in/image/upload/c_crop,g_custom/v1774435140/jhc8nk5igprecjsvya7d.png","[""https://media.insider.in/image/upload/c_crop,g_custom/v1774435140/jhc8nk5igprecjsvya7d.png""]",,,2026-05-17T11:02:36.940Z
www.district.in,https://www.district.in/events/sex-jokes-night-mar14-2025-buy-tickets,https://www.district.in/events/sex-jokes-night-mar14-2025-buy-tickets,Sex Jokes Night,Buy Tickets for Sex Jokes Night !,,,,,,,,"https://media.insider.in/image/upload/c_crop,g_custom/v1741943895/xyvvbg7hviaqiief5qy7.jpg","[""https://media.insider.in/image/upload/c_crop,g_custom/v1741943895/xyvvbg7hviaqiief5qy7.jpg""]",,,2026-05-17T11:02:36.946Z
www.district.in,https://www.district.in/events/all-stars-live-apr12-2026-buy-tickets,https://www.district.in/events/all-stars-live-apr12-2026-buy-tickets,All Stars Live,Buy Tickets for All Stars Live !,,,,,,,,"https://media.insider.in/image/upload/c_crop,g_custom/v1775801595/bgo1soefvyq5fbjz4rze.png","[""https://media.insider.in/image/upload/c_crop,g_custom/v1775801595/bgo1soefvyq5fbjz4rze.png""]",,,2026-05-17T11:02:37.086Z
www.district.in,https://www.district.in/events/delhi-comedy-express-jan8-2026-buy-tickets,https://www.district.in/events/delhi-comedy-express-jan8-2026-buy-tickets,Delhi Comedy Express  | Lajpat Nagar | GK | South Delhi,Buy Tickets for Delhi Comedy Express  | Lajpat Nagar | GK | South Delhi!,,,,,Delhi,,,"https://media.insider.in/image/upload/c_crop,g_custom/v1767776615/hnmndmngh9wz0m6nm4g7.jpg","[""https://media.insider.in/image/upload/c_crop,g_custom/v1767776615/hnmndmngh9wz0m6nm4g7.jpg""]",,,2026-05-17T11:02:37.262Z
www.district.in,https://www.district.in/events/clean-comedy-night-may25-2024-buy-tickets,https://www.district.in/events/clean-comedy-night-may25-2024-buy-tickets,Standup in Hauz Khas - A Standup Comedy Lineup,Buy Tickets for Standup in Hauz Khas - A Standup Comedy Lineup!,,,,,,,,"https://media.insider.in/image/upload/c_crop,g_custom/v1749449149/m6w1ansjsuz5yfz3amnj.png","[""https://media.insider.in/image/upload/c_crop,g_custom/v1749449149/m6w1ansjsuz5yfz3amnj.png""]",,,2026-05-17T11:02:37.314Z
www.district.in,https://www.district.in/events/delhi-freedom-half-marathon-aug9-2026-buy-tickets,https://www.district.in/events/delhi-freedom-half-marathon-aug9-2026-buy-tickets,Delhi Freedom Half Marathon,Buy Tickets for Delhi Freedom Half Marathon!,,,,,Delhi,,,"https://media.insider.in/image/upload/c_crop,g_custom,q_auto/v1778439845/eoqpqw2suylsqyfd1s2v.jpg","[""https://media.insider.in/image/upload/c_crop,g_custom,q_auto/v1778439845/eoqpqw2suylsqyfd1s2v.jpg""]",,,2026-05-17T11:02:37.306Z
www.district.in,https://www.district.in/events/music-in-gurgaon-book-tickets,https://www.district.in/events/music-in-gurgaon-book-tickets,Book Tickets for Music in Gurgaon Now! | District,Discover and book tickets for the best Music events in Gurgaon. Don&#x27;t miss out on the latest happenings in your city!,,,,,,,,https://b.zmtcdn.com/data/edition_assets/1731516000703.png,"[""https://b.zmtcdn.com/data/edition_assets/1731516000703.png""]",,,2026-05-17T11:02:37.416Z
www.district.in,https://www.district.in/events/sports-events-in-gurgaon-book-tickets,https://www.district.in/events/sports-events-in-gurgaon-book-tickets,Book Tickets for Sports Events in Gurgaon Now! | District,Discover and book tickets for the best Sports Events events in Gurgaon. Don&#x27;t miss out on the latest happenings in your city!,,,,,,,,https://b.zmtcdn.com/data/edition_assets/1731516000703.png,"[""https://b.zmtcdn.com/data/edition_assets/1731516000703.png""]",,,2026-05-17T11:02:37.586Z
www.district.in,https://www.district.in/events/performances-in-gurgaon-book-tickets,https://www.district.in/events/performances-in-gurgaon-book-tickets,Book Tickets for Performances in Gurgaon Now! | District,Discover and book tickets for the best Performances events in Gurgaon. Don&#x27;t miss out on the latest happenings in your city!,,,,,,,,https://b.zmtcdn.com/data/edition_assets/1731516000703.png,"[""https://b.zmtcdn.com/data/edition_assets/1731516000703.png""]",,,2026-05-17T11:02:37.627Z
