source_host,url,canonical_url,title,description,start_date,end_date,venue,address,city_guess,price,currency,image,images,organizer,tags,scraped_at
www.district.in,https://www.district.in/events/screenings-in-gurgaon-book-tickets,https://www.district.in/events/screenings-in-gurgaon-book-tickets,Book Tickets for Screenings in Gurgaon Now! | District,Discover and book tickets for the best Screenings events in Gurgaon. Don&#x27;t miss out on the latest happenings in your city!,,,,,,,,https://b.zmtcdn.com/data/edition_assets/1731516000703.png,"[""https://b.zmtcdn.com/data/edition_assets/1731516000703.png""]",,,2026-05-17T13:58:18.149Z
www.district.in,https://www.district.in/events/fitness-events-in-gurgaon-book-tickets,https://www.district.in/events/fitness-events-in-gurgaon-book-tickets,Book Tickets for Fitness Events in Gurgaon Now! | District,Discover and book tickets for the best Fitness Events events in Gurgaon. Don&#x27;t miss out on the latest happenings in your city!,,,,,,,,https://b.zmtcdn.com/data/edition_assets/1731516000703.png,"[""https://b.zmtcdn.com/data/edition_assets/1731516000703.png""]",,,2026-05-17T13:58:18.176Z
www.district.in,https://www.district.in/events/conferences-in-gurgaon-book-tickets,https://www.district.in/events/conferences-in-gurgaon-book-tickets,Book Tickets for Conferences in Gurgaon Now! | District,Discover and book tickets for the best Conferences events in Gurgaon. Don&#x27;t miss out on the latest happenings in your city!,,,,,,,,https://b.zmtcdn.com/data/edition_assets/1731516000703.png,"[""https://b.zmtcdn.com/data/edition_assets/1731516000703.png""]",,,2026-05-17T13:58:18.171Z
www.district.in,https://www.district.in/events/openmics-in-gurgaon-book-tickets,https://www.district.in/events/openmics-in-gurgaon-book-tickets,Book Tickets for Openmics in Gurgaon Now! | District,Discover and book tickets for the best Openmics events in Gurgaon. Don&#x27;t miss out on the latest happenings in your city!,,,,,,,,https://b.zmtcdn.com/data/edition_assets/1731516000703.png,"[""https://b.zmtcdn.com/data/edition_assets/1731516000703.png""]",,,2026-05-17T13:58:18.264Z
www.district.in,https://www.district.in/events/messi-2025-india-tour-ticket-booking/,https://www.district.in/events/messi-2025-india-tour-ticket-booking/,,,,,,,,,,,,,,2026-05-17T13:58:18.579Z
www.district.in,https://www.district.in/events/,https://www.district.in/events/,Get Upcoming Events Tickets & Enjoy Live Events | District,"Discover and book tickets for upcoming events effortlessly. Secure your spot for music, plays, workshops, comedy shows, and more on District.in",,,,,,,,https://b.zmtcdn.com/data/edition_assets/1731516000703.png,"[""https://b.zmtcdn.com/data/edition_assets/1731516000703.png""]",,,2026-05-17T13:58:18.819Z
www.district.in,https://www.district.in/events/niladri-kumaar/artist,https://www.district.in/events/niladri-kumaar/artist,"Niladri Kumaar Shows, Tickets and More. Follow Now!","Niladri Kumaar, one of India’s most celebrated contemporary classical artists. A sitar virtuoso and visionary composer, he is the creator of the Zitar, a groundbreaking fusion of sitar and guitar that has reimagined the possibilities of Indian classical music.

Trained in the rich legacy of Hindustani classical tradition, his artistry bridges heritage and innovation with effortless finesse. His work transcends genres, weaving together classical depth, global influences, and a distinctly modern sensibility, establishing him as a pioneering force shaping the future of Indian sound.",,,,,,,,"https://media.insider.in/image/upload/c_crop,g_custom,q_auto/v1777536623/ogn5fkljkvanltt4pkui.jpg","[""https://media.insider.in/image/upload/c_crop,g_custom,q_auto/v1777536623/ogn5fkljkvanltt4pkui.jpg""]",,,2026-05-17T13:58:18.582Z
www.district.in,https://www.district.in/events/kanha-kamboj/artist,https://www.district.in/events/kanha-kamboj/artist,"Kanha Kamboj Shows, Tickets and More. Follow Now!","Kanha Kamboj is a poet–musician whose work blends shayari and singing into intimate, emotionally driven performances. Known for his soft delivery and sufi-tinged sound, his words move gently between spoken poetry and melody, creating experiences that feel personal and reflective. His live sets are shaped like modern mehfils — minimal, honest, and rooted in feeling rather than spectacle.",,,,,,,,"https://media.insider.in/image/upload/c_crop,g_custom/v1767783193/fktxyamgix3dubr7ikaz.png","[""https://media.insider.in/image/upload/c_crop,g_custom/v1767783193/fktxyamgix3dubr7ikaz.png""]",,,2026-05-17T13:58:19.080Z
www.district.in,https://www.district.in/events/rakesh-chaurasia/artist,https://www.district.in/events/rakesh-chaurasia/artist,"Rakesh Chaurasia Shows, Tickets and More. Follow Now!","Rakesh Chaurasia (b. 1971, Allahabad) is a Grammy-winning Indian flautist of the bansuri and nephew of maestro Hariprasad Chaurasia. A prodigy groomed in the Kirana tradition, he blends classical purity with global fusions—jugalbandis, jazz, flamenco. He’s toured worldwide, earned multiple prestigious awards, and secured two Grammys in 2024.",,,,,,,,"https://media.insider.in/image/upload/c_crop,g_custom/v1751447578/a5cd81b6knh2v0kjuh6u.jpg","[""https://media.insider.in/image/upload/c_crop,g_custom/v1751447578/a5cd81b6knh2v0kjuh6u.jpg""]",,,2026-05-17T13:58:18.943Z
www.district.in,https://www.district.in/events/mukul_sharma/artist,https://www.district.in/events/mukul_sharma/artist,"Mukul Sharma Shows, Tickets and More. Follow Now!","Mukul Sharma isn’t just a singer—he’s a storyteller. With every lyric and every note, he weaves emotions into melodies that resonate far beyond the stage. Recently, he celebrated performing to a sold-out audience of 1,000 people, calling it “not just a show, but love, poetry, and us.",,,,,,,,"https://media.insider.in/image/upload/c_crop,g_custom/v1758264530/qott63ml1d54jwxq6ysm.png","[""https://media.insider.in/image/upload/c_crop,g_custom/v1758264530/qott63ml1d54jwxq6ysm.png""]",,,2026-05-17T13:58:18.977Z
www.district.in,https://www.district.in/events/purbayan-chatterjee/artist,https://www.district.in/events/purbayan-chatterjee/artist,"Purbayan Chatterjee Shows, Tickets and More. Follow Now!","Purbayan Chatterjee is one of the most revered sitar maestros of the world, and belongs to the Senia Maihar Gharana founded by Baba Alauddin Khan. His gurus are his father Pt. Parthapratim Chatterjee, Ustad Ali Akbar Khan, and he’s undergone vocal training from Pt. Ajay Chakraborty and training in tabla from Pt. Arindo Chatterjee. 

Among the list of awards that he has received there is the Indian president awards, Aditya Vikram Birla award, Rotary international award, in addition to many other prestigious awards. 

Purbayan&#x27;s music is inspired by the sound of Pt. Nikhil Banerjee. His music combines the tone and richness of the Nikhil Banerjee style and a contemporary touch of his own urbane sensitivity. He has conceptualised the ground-breaking project Shastriya Syndicate - the first Indian Classical Band - with a contemporary touch, which has
performed all over the world. Their album ‘Lehar’ released by Times Music in 2008
remained the best-seller for a year and a half.

Purbayan regularly collaborates with the likes of Shankar Mahadevan, Ustad Zakir
Hussain and the jazz legend Pat Metheny. He also has several international albums to his credit, apart from many classical albums on top record labels of the world. His albums ‘Leher’ and ‘Stringstruck’ have received several awards and have been celebrated worldwide. 

Today he is one of the most sought-after musicians in the country and a global
ambassador for Indian classical music.",,,,,,,,"https://media.insider.in/image/upload/c_crop,g_custom/v1732166519/vjni9dnfoyirwmnaryaz.jpg","[""https://media.insider.in/image/upload/c_crop,g_custom/v1732166519/vjni9dnfoyirwmnaryaz.jpg""]",,,2026-05-17T13:58:19.229Z
www.district.in,https://www.district.in/events/atul-khatri/artist,https://www.district.in/events/atul-khatri/artist,"Atul Khatri Shows, Tickets and More. Follow Now!","Can businessmen be funny? Yes. Meet Atul Khatri, a middle-aged businessman-turned-comedian who now makes a living making people laugh harder than they ever have. A former member of one of the country&#x27;s leading comedy collectives, East India Comedy, Atul has often been spotted on their YouTube series like EIC Outrage, and specials such as EIC vs Bollywood. Bringing his 40+-year-old perspective with every show, he performs regularly at comedy clubs and does private shows in India and abroad. The comedian has showcased his skills at the prestigious Utrecht International Comedy Festival in the Netherlands and Belgium, and at the 8th Annual Hong Kong International Comedy Festival in 2014. CNN-IBN recently rated him as one of the Top 20 Comedians in India to Watch Out For, post winning the competition CEOs Got Talent.",,,,,,,,"https://media.insider.in/image/upload/c_crop,g_custom/v1732168330/o3ke8o6pmuuhweto1iip.jpg","[""https://media.insider.in/image/upload/c_crop,g_custom/v1732168330/o3ke8o6pmuuhweto1iip.jpg""]",,,2026-05-17T13:58:19.303Z
www.district.in,https://www.district.in/events/akshay-srivastava/artist,https://www.district.in/events/akshay-srivastava/artist,"Akshay Srivastava Shows, Tickets and More. Follow Now!","Akshay Srivastava is a freedom fighter who fought for his freedom from his parents and is now looking for accommodation in Mumbai. The professional banker serves in a very respectful position of sending OTPs to people. He has performed in avenues like CLC, Comic-Con, The Habitat, Good Night India [Sab TV] to name a few and worked his ass off to make the bio look like a Resume. All the HRs reading this, feel free to reach him.",,,,,Mumbai,,,"https://media.insider.in/image/upload/c_crop,g_custom/v1654675061/mzhinyesvpc9sqtgimk1.png","[""https://media.insider.in/image/upload/c_crop,g_custom/v1654675061/mzhinyesvpc9sqtgimk1.png""]",,,2026-05-17T13:58:19.327Z
www.district.in,https://www.district.in/events/dj-omiki/artist,https://www.district.in/events/dj-omiki/artist,"DJ Omiki Shows, Tickets and More. Follow Now!",,,,,,,,,"https://media.insider.in/image/upload/c_crop,g_custom,q_auto/v1778855191/va8wafpmqqvspymwgoqd.jpg","[""https://media.insider.in/image/upload/c_crop,g_custom,q_auto/v1778855191/va8wafpmqqvspymwgoqd.jpg""]",,,2026-05-17T13:58:19.434Z
www.district.in,https://www.district.in/events//,https://www.district.in/events/,Get Upcoming Events Tickets & Enjoy Live Events | District,"Discover and book tickets for upcoming events effortlessly. Secure your spot for music, plays, workshops, comedy shows, and more on District.in",,,,,,,,https://b.zmtcdn.com/data/edition_assets/1731516000703.png,"[""https://b.zmtcdn.com/data/edition_assets/1731516000703.png""]",,,2026-05-17T13:58:20.271Z
www.district.in,https://www.district.in/dining/,https://www.district.in/dining/,Dining | District,"Discover the best dining experiences in your city. Explore restaurants, cafes, bars, and more.",,,,,,,,https://b.zmtcdn.com/data/edition_assets/1731516000703.png,"[""https://b.zmtcdn.com/data/edition_assets/1731516000703.png""]",,,2026-05-17T13:58:19.671Z
www.district.in,https://www.district.in/movies/,https://www.district.in/movies/,Book Movie Tickets Online in India | District by Zomato,"Book movie tickets online across India on District by Zomato. Find your next film, pick your seat and book in seconds — instant, secure and easy.",,,,,,,,https://b.zmtcdn.com/data/edition_assets/1731516000703.png,"[""https://b.zmtcdn.com/data/edition_assets/1731516000703.png""]",,,2026-05-17T13:58:20.139Z
www.district.in,https://www.district.in///,https://www.district.in/,"District by Zomato: Movies, Events, Dining, Sports & Concerts Nearby","Discover life in your District - movies, restaurants, live shows, comedy gigs, sports, and more. Download the District app now for real-time updates.",,,,,,,,https://b.zmtcdn.com/data/edition_assets/1731516000703.png,"[""https://b.zmtcdn.com/data/edition_assets/1731516000703.png""]",,,2026-05-17T13:58:20.433Z
