source_host,url,canonical_url,title,description,start_date,end_date,venue,address,city_guess,price,currency,image,images,organizer,tags,scraped_at
www.district.in,https://www.district.in/events/comedy-circus-gurgaon-a-standup-comedy-lineup-show-sep9-2025-buy-tickets,https://www.district.in/events/comedy-circus-gurgaon-a-standup-comedy-lineup-show-sep9-2025-buy-tickets,Comedy Circus Gurgaon | A Standup Comedy Lineup Show,Fresh stand-up. Handpicked comics. Brand-new jokes every day.  Artist line-ups are rotated daily based on availability.,2026-05-17T14:15:00.000Z,2026-06-01T17:45:00.000Z,Nerds of Comedy Studio,Gurugram,Gurugram,299 onwards,INR,"https://media.insider.in/image/upload/c_crop,g_custom/v1757417781/fifkq4i6i0donqpq7xg3.jpg","[""https://media.insider.in/image/upload/c_crop,g_custom/v1757417781/fifkq4i6i0donqpq7xg3.jpg"",""https://media.insider.in/image/upload/c_crop,g_custom/v1765377137/rweogo5ktamspi51q5mm.jpg"",""https://media.insider.in/image/upload/w_800/v1770378796/uka592uue6fcubyaboen.jpg"",""https://media.insider.in/image/upload/w_800/v1770378796/ftnamqna00dlitjfw0rt.jpg"",""https://media.insider.in/image/upload/w_800/v1770378796/aexpm2nx4fadcbiulrke.jpg"",""https://media.insider.in/image/upload/w_800/v1770379200/nlmfb7uxfidmu1uasixj.jpg"",""https://media.insider.in/image/upload/w_800/v1770379250/ctgzhtr5ofi4rm5juvqr.jpg"",""https://media.insider.in/image/upload/w_800/v1774023938/yfa7unhyu8qszlfaqxho.jpg"",""https://media.insider.in/image/upload/w_800/v1774023939/vnfbupxjdbs5bdr3wvcf.jpg"",""https://media.insider.in/image/upload/w_800/v1774023939/prelpyb30cu9omxlrzl4.jpg"",""https://media.insider.in/image/upload/w_800/v1774023941/yf7ovc8cwjuufg8v4tre.jpg"",""https://media.insider.in/image/upload/w_800/v1774023952/oq22xeyn8jz6z6akbmdq.jpg"",""https://media.insider.in/image/upload/w_800/v1774023969/hgigl8mgqmm5ah6ggwar.jpg"",""https://media.insider.in/image/upload/w_800/v1774023972/ymnqemcdzagftbkzy1ab.jpg"",""https://media.insider.in/image/upload/w_800/v1774023973/wncvuybtfviy3se8zdkk.jpg"",""https://media.insider.in/image/upload/w_800/v1774023974/jelvlboxlieofqkhyqxn.jpg"",""https://media.insider.in/image/upload/w_800/v1774023986/e1hwtiohploxhnvnvxdi.jpg"",""https://media.insider.in/image/upload/w_800/v1774023992/x7aczsku60urdpmw44gs.jpg""]",Lalit Bhatia,Comedy Circus Gurgaon | A Standup Comedy Lineup Show|Comedy|Standup,2026-05-17T13:59:14.168Z
www.district.in,https://www.district.in/events/noida-comedy-show-sec18-sep10-2025-buy-tickets,https://www.district.in/events/noida-comedy-show-sec18-sep10-2025-buy-tickets,Noida Comedy Show | Sec-18,"A laughter-packed night with some of the funniest comics—lineup’s a surprise, but the laughs are guaranteed.",2026-05-17T15:30:00.000Z,2026-05-22T16:45:00.000Z,Comedy Club Sector 18 Noida,,,299 onwards,INR,"https://media.insider.in/image/upload/c_crop,g_custom/v1757324102/ajqcgojig4fmwn1jcbti.png","[""https://media.insider.in/image/upload/c_crop,g_custom/v1757324102/ajqcgojig4fmwn1jcbti.png"",""https://media.insider.in/image/upload/c_crop,g_custom/v1757324125/kaw7yvfkd3rx8d4czevc.png""]",Shalu Rani,Noida Comedy Show | Sec-18|Comedy|Standup,2026-05-17T13:59:14.421Z
www.district.in,https://www.district.in/events/super-8-a-standup-comedy-lineup-show-aug27-2025-buy-tickets,https://www.district.in/events/super-8-a-standup-comedy-lineup-show-aug27-2025-buy-tickets,Super 8: A Stand-Up Comedy Lineup Show,"Super 8 is our finest curation of the 8 hottest comics in the scene.   The lineups might differ depending   on availability, but the excellence won't.    Want to hear your favourite artist's fresh jokes, and thoughts so novel they echo with you even after the night's over?  Are you a connoisseur of fresh talent? Because this show features our handpicked list which is fire on stage.  Come for the ultimate setting of live stand-up in the heart of the finest underground comedy club in town.",2026-05-17T14:15:00.000Z,2026-06-01T17:30:00.000Z,Nerds of Comedy Studio,Gurugram,Gurugram,199 onwards,INR,"https://media.insider.in/image/upload/c_crop,g_custom/v1760009381/tfdsb2yqncfxhmukbtly.jpg","[""https://media.insider.in/image/upload/c_crop,g_custom/v1760009381/tfdsb2yqncfxhmukbtly.jpg"",""https://media.insider.in/image/upload/c_crop,g_custom/v1765279044/h6ojaeiuw9b19ojbcfvt.jpg""]",Lalit Bhatia,Super 8: A Stand-Up Comedy Lineup Show|Comedy|Standup,2026-05-17T13:59:14.289Z
www.district.in,https://www.district.in/events/comedy-show-ft-various-artist-dec20-2025-buy-tickets,https://www.district.in/events/comedy-show-ft-various-artist-dec20-2025-buy-tickets,Comedy Show Ft. Various Artist,"This stand-up comedy show brings fresh humor and relatable stories to the stage. From daily overthinking to modern relationships, every joke feels familiar.The punchlines are quick, the energy is high, and the laughs are real.  Expect honest comedy with zero filters and maximum fun. Perfect for a night out that actually feels worth it.",2026-05-17T11:30:00.000Z,2026-05-17T17:00:00.000Z,The Spotlight Studio,New Delhi,New Delhi,299 onwards,INR,"https://media.insider.in/image/upload/c_crop,g_custom/v1765972884/nxsdammzsoobj52bmswf.png","[""https://media.insider.in/image/upload/c_crop,g_custom/v1765972884/nxsdammzsoobj52bmswf.png"",""https://media.insider.in/image/upload/c_crop,g_custom/v1765972993/blto02jfswhv4r4zkslc.png""]",Pankaj Manchanda,Comedy Show Ft. Various Artist|Comedy|Standup|Roast,2026-05-17T13:59:14.414Z
www.district.in,https://www.district.in/events/all-star-lineup-comedy-show-mar6-2025-buy-tickets,https://www.district.in/events/all-star-lineup-comedy-show-mar6-2025-buy-tickets,All Star Lineup Comedy Show,"The poster does not provide any indication or suggestion of who will be in the lineup.  &nbsp;It is a surprising lineup, and depending on your luck, you may get to see your favorite artist. You may find some famous acts, including these, on the poster in the show, and you might not.   A curated stand-up comedy show, in which you get a chance to witness some of the best comics from all over INDIA. The lineup for the show is always a mystery. Grab your passes and try your luck to watch most seasoned comics like Jeeveshu Ahluwalia, Pratyush Chaubey, Vijay Yadav, Manik Mahana, Gaurav Kapoor, Akash Mehta, Nishant Suri, Samay Raina, Rajat Chauhan, Rakesh Addlakha, Yash Rathi, Jaspreet Singh, Biswa Kalyan Rath, Haseeb Khan etc.... share the same stage in the same hour.",2026-05-17T14:30:00.000Z,2026-05-17T19:30:00.000Z,The Joke Theatre,,,3 onwards,INR,"https://media.insider.in/image/upload/c_crop,g_custom/v1741164133/z8etonq2uhge4czkrtez.png","[""https://media.insider.in/image/upload/c_crop,g_custom/v1741164133/z8etonq2uhge4czkrtez.png"",""https://media.insider.in/image/upload/c_crop,g_custom/v1741164163/o4j30dxn5u4qku4gayzu.png""]",Gigs Live Entertainment Private Limited,All Star Lineup Comedy Show|Comedy|Standup,2026-05-17T13:59:14.567Z
www.district.in,https://www.district.in/events/hand-picked-a-surprise-lineup-show-jul11-2025-buy-tickets,https://www.district.in/events/hand-picked-a-surprise-lineup-show-jul11-2025-buy-tickets,Hand Picked- A Surprise Lineup Show,"A surprise comedy lineup — no names revealed! You might catch your favorite artist or discover a new favorite. Big names may be on the show… or not.    The Project Comedy presents Handpicked – an epic comedy night featuring some of the finest comics from Delhi NCR and a few surprise celebrity acts.   We’re talking about a power-packed lineup of the funniest folks in town, all ready to set the stage on fire with fresh jokes, wild punchlines, and the kind of laughter therapy you didn’t know you needed.   Whether you're a hardcore comedy fan or just looking for a fun night out, this is the show you don't want to miss. Who knows — your favorite comic might just drop in for a surprise set!",2026-05-17T14:30:00.000Z,2026-05-20T15:45:00.000Z,The Project Comedy,Gurugram,Gurugram,199 onwards,INR,"https://media.insider.in/image/upload/c_crop,g_custom/v1773761036/wiugpxskzj28d4qgr2ke.png","[""https://media.insider.in/image/upload/c_crop,g_custom/v1773761036/wiugpxskzj28d4qgr2ke.png"",""https://media.insider.in/image/upload/c_crop,g_custom/v1773761453/xmg8sayu1lkvjljm9hoy.png""]",Par Entertainment Private Limited,Hand Picked- A Surprise Lineup Show|Comedy|Standup,2026-05-17T13:59:14.686Z
www.district.in,https://www.district.in/events/comedy-lineup-show-apr24-2026-buy-tickets,https://www.district.in/events/comedy-lineup-show-apr24-2026-buy-tickets,Comedy Lineup Show,"Get ready for an evening full of laughter, relatable humor, and high-energy entertainment with Himanshu Bhardwaj’s Live Comedy Show!  Known for his sharp wit and effortless storytelling, Himanshu Bhardwaj brings everyday situations to life with a hilarious twist. From desi family dynamics and workplace struggles to trending social quirks, his comedy strikes the perfect balance between clever observations and laugh-out-loud moments.",2026-05-17T15:30:00.000Z,2026-05-31T17:00:00.000Z,Owncomedyhouse,Noida,Noida,99 onwards,INR,"https://media.insider.in/image/upload/c_crop,g_custom,q_auto/v1776926174/tgdrahde5lwoopasxudd.jpg","[""https://media.insider.in/image/upload/c_crop,g_custom,q_auto/v1776926174/tgdrahde5lwoopasxudd.jpg"",""https://media.insider.in/image/upload/c_crop,g_custom,q_auto/v1776926193/yn2llxto0uenmioqfea7.jpg""]",Reetika sharma,Comedy Lineup Show|Comedy|Standup|Improv,2026-05-17T13:59:14.776Z
www.district.in,https://www.district.in/events/delhi-comedy-express-jan8-2026-buy-tickets,https://www.district.in/events/delhi-comedy-express-jan8-2026-buy-tickets,Delhi Comedy Express  | Lajpat Nagar | GK | South Delhi,"TOT Studio brings its flagship,Delhi Comedy Express: A Stand-up comedy show, where regulars from the comedy circuit come together and perform new material so you can be spectators and witness how comedy gold is made. The show will be an hour and a half long.    Poster Comedians may or may not be included in the lineup",2026-05-17T14:30:00.000Z,2026-06-05T17:45:00.000Z,TOT Studio,New Delhi,New Delhi,1 onwards,INR,"https://media.insider.in/image/upload/c_crop,g_custom/v1767776615/hnmndmngh9wz0m6nm4g7.jpg","[""https://media.insider.in/image/upload/c_crop,g_custom/v1767776615/hnmndmngh9wz0m6nm4g7.jpg"",""https://media.insider.in/image/upload/c_crop,g_custom/v1767776644/b1ueddjjt5n027diipw7.jpg"",""https://media.insider.in/image/upload/w_800/v1778140443/gjisdl8phg9qiomunmxf.jpg"",""https://media.insider.in/image/upload/w_800/v1777644423/sai8v0tqfedxw9da6xw2.jpg"",""https://media.insider.in/image/upload/w_800/v1771354642/zlarn5hgnufcedgni9ik.jpg"",""https://media.insider.in/image/upload/w_800/v1767859254/lap6dx0cntpvfysey4je.jpg"",""https://media.insider.in/image/upload/w_800/v1767859254/ohpsmxaghcomfnscvxln.jpg"",""https://media.insider.in/image/upload/w_800/v1767859254/lb9nxf9nfey1mf3dnsby.jpg"",""https://media.insider.in/image/upload/w_800/v1771354865/kqokkqoqv5vwbs98betb.jpg"",""https://media.insider.in/image/upload/w_800/v1771354866/awwm59hnnl1jqv8vhugs.jpg"",""https://media.insider.in/image/upload/w_800/v1771354897/hlvqfhdfqi10f11fitfo.jpg"",""https://media.insider.in/image/upload/w_800/v1777644423/ofv8nl0s1vrtoo8sfh0d.jpg"",""https://media.insider.in/image/upload/w_800/v1777644424/itb2crbywwidwcnxloj3.jpg"",""https://media.insider.in/image/upload/w_800/v1777644425/tcpsq61f27yd9ig20s27.jpg"",""https://media.insider.in/image/upload/w_800/v1777644514/esawgmw72efmjoelvt7s.jpg"",""https://media.insider.in/image/upload/w_800/v1777644514/tbfaz5jyn8mt7noan4tg.jpg"",""https://media.insider.in/image/upload/w_800/v1777644515/m47hdocuxxvfuiz7vc3r.jpg"",""https://media.insider.in/image/upload/w_800/v1777644515/atfqgzdwg6tqodcb2knk.jpg"",""https://media.insider.in/image/upload/w_800/v1777644515/slfrkj2rca6xttmyzsbn.jpg"",""https://media.insider.in/image/upload/w_800/v1777644517/ry3ynymc5gi6d8ok4qye.jpg"",""https://media.insider.in/image/upload/w_800/v1777644518/upvl4xpprvybuifbqzo8.jpg""]",TRIBAL SIERRA CAFE LLP,Delhi Comedy Express  | Lajpat Nagar | GK | South Delhi|Comedy|Standup,2026-05-17T13:59:14.840Z
www.district.in,https://www.district.in/events/tata-ipl-2026-match-62--delhi-capitals-vs-rajasthan-royals-buy-tickets,https://www.district.in/events/tata-ipl-2026-match-62--delhi-capitals-vs-rajasthan-royals-buy-tickets,TATA IPL 2026: Match 62 | Delhi Capitals vs Rajasthan Royals,$1f,2026-05-17T14:00:00.000Z,2026-05-17T17:00:00.000Z,Arun Jaitley Stadium,New Delhi,New Delhi,1700 onwards,INR,"https://media.insider.in/image/upload/c_crop,g_custom,q_auto/v1778487430/folpts69uhnkf9zsbwza.jpg","[""https://media.insider.in/image/upload/c_crop,g_custom,q_auto/v1778487430/folpts69uhnkf9zsbwza.jpg"",""https://media.insider.in/image/upload/c_crop,g_custom,q_auto/v1778487448/ucg3e6caevdzwaidik4b.jpg""]",JSW GMR Cricket Pvt. Ltd.,TATA IPL 2026: Match 62 | Delhi Capitals vs Rajasthan Royals|Sports|Cricket Matches,2026-05-17T13:59:15.000Z
www.district.in,https://www.district.in/events/anime-india-delhi-2026-buy-tickets,https://www.district.in/events/anime-india-delhi-2026-buy-tickets,Anime India | Delhi,$23,2026-06-06T04:30:00.000Z,2026-06-07T15:30:00.000Z,Yashobhoomi,Delhi,Delhi,0,INR,"https://media.insider.in/image/upload/c_crop,g_custom/v1772271126/rdinrtejfl2bacyznpot.png","[""https://media.insider.in/image/upload/c_crop,g_custom/v1772271126/rdinrtejfl2bacyznpot.png"",""https://media.insider.in/image/upload/c_crop,g_custom/v1772279591/rbapwk1pjoxuszid4tmf.png"",""https://media.insider.in/image/upload/w_1000/v1773382080/jwf8ju3izsdze3x84fxi.png"",""https://media.insider.in/image/upload/w_800/v1772433934/pjnwq3yxky1auaecqelr.jpg"",""https://media.insider.in/image/upload/w_1000/v1773382080/pmklsvx0qobwklahx7cl.png"",""https://media.insider.in/image/upload/w_800/v1772433934/s5xnkgeuzy4ad5xtdghb.jpg"",""https://media.insider.in/image/upload/w_800/v1772433934/yz9x4wq9wijtn80xp997.jpg"",""https://media.insider.in/image/upload/w_800/v1772433934/jeiarkntv5frmjp7otqx.jpg"",""https://media.insider.in/image/upload/w_800/v1772433934/sywbg3gcemx5qxki94lt.jpg"",""https://media.insider.in/image/upload/w_800/v1772439996/hbfe9iwmnhrsrfp4jt2g.jpg"",""https://media.insider.in/image/upload/w_800/v1772439996/cfwq0dypq6xebj5z8wev.jpg"",""https://media.insider.in/image/upload/w_800/v1772439997/q8hssis1rcg2jaczifb1.jpg"",""https://media.insider.in/image/upload/w_800/v1772439997/wpr9qdghtboptoorbikb.jpg"",""https://media.insider.in/image/upload/w_800/v1772692286/mhky6zlhhd0goeuaoimq.jpg""]",Animation Xpress India Pvt Ltd,Anime India | Delhi|Pop Culture Fairs|Fests & Fairs,2026-05-17T13:59:15.032Z
